M,K,N,US_PER_RUN,MFLOPS,GFLOPS,BW_GB_S,RUNS
4096,4096,1,290.11,33.55,115.66,61.50,1724
4096,4096,2,454.02,67.11,147.81,39.33,1102
4096,4096,4,760.83,134.22,176.41,23.52,658
4096,4096,8,1378.39,268.44,194.75,13.03,364
4096,4096,16,2612.87,536.87,205.47,6.92,192
4096,4096,32,5087.34,1073.74,211.06,3.61,99
4096,4096,64,10037.26,2147.48,213.95,1.88,50
4096,4096,128,20521.13,4294.97,209.29,0.97,32
4096,4096,256,42100.39,8589.93,204.03,0.52,32
4096,4096,512,83745.81,17179.87,205.14,0.31,32
4096,11008,1,960.07,90.18,93.93,49.95,521
4096,11008,2,1884.33,180.36,95.71,25.47,266
4096,11008,4,3513.73,360.71,102.66,13.68,143
4096,11008,8,6771.66,721.42,106.54,7.13,74
4096,11008,16,13307.51,1442.84,108.42,3.65,38
4096,11008,32,26347.89,2885.68,109.52,1.87,32
4096,11008,64,52824.27,5771.36,109.26,0.96,32
4096,11008,128,106145.59,11542.72,108.74,0.50,32
4096,11008,256,211785.05,23085.45,109.00,0.28,32
4096,11008,512,424030.90,46170.90,108.89,0.17,32
4096,14336,1,1905.74,117.44,61.62,32.77,263
4096,14336,2,3955.15,234.88,59.39,15.80,127
4096,14336,4,7482.32,469.76,62.78,8.37,67
4096,14336,8,14640.52,939.52,64.17,4.29,35
4096,14336,16,28935.42,1879.05,64.94,2.19,32
4096,14336,32,57524.82,3758.10,65.33,1.12,32
4096,14336,64,119903.15,7516.19,62.69,0.55,32
4096,14336,128,239347.56,15032.39,62.81,0.29,32
4096,14336,256,478361.64,30064.77,62.85,0.16,32
4096,14336,512,952418.86,60129.54,63.13,0.10,32
8192,8192,1,1455.85,134.22,92.19,49.00,344
8192,8192,2,3538.20,268.44,75.87,20.17,142
8192,8192,4,6715.89,536.87,79.94,10.64,75
8192,8192,8,13114.57,1073.74,81.87,5.46,39
8192,8192,16,25850.64,2147.48,83.07,2.78,32
8192,8192,32,51265.22,4294.97,83.78,1.41,32
8192,8192,64,102797.12,8589.93,83.56,0.71,32
8192,8192,128,208606.19,17179.87,82.36,0.36,32
8192,8192,256,415197.22,34359.74,82.76,0.19,32
8192,8192,512,829933.52,68719.48,82.80,0.11,32
8192,28672,1,10908.28,469.76,43.06,22.89,46
8192,28672,2,21409.64,939.52,43.88,11.67,32
8192,28672,4,42420.97,1879.05,44.30,5.89,32
8192,28672,8,84437.68,3758.10,44.51,2.97,32
8192,28672,16,168475.24,7516.19,44.61,1.49,32
8192,28672,32,336562.05,15032.39,44.66,0.75,32
8192,28672,64,672707.58,30064.77,44.69,0.38,32
8192,28672,128,1345066.07,60129.54,44.70,0.20,32
8192,28672,256,2689644.63,120259.08,44.71,0.10,32
8192,28672,512,5379174.38,240518.17,44.71,0.06,32
2048,2048,1,161.24,8.39,52.03,27.69,3102
2048,2048,2,213.04,16.78,78.75,21.00,2348
2048,2048,4,316.83,33.55,105.91,14.17,1579
2048,2048,8,524.98,67.11,127.83,8.61,953
2048,2048,16,940.90,134.22,142.65,4.88,532
2048,2048,32,1773.80,268.44,151.33,2.66,282
